ginger.girl.hut	fileserver.copyroom.hut	1370
fileserver.copyroom.hut	fileserver.copyroom.hut	9459
laser3.copyroom.hut	offshore.wreck	3606
laser3.copyroom.hut	gilligan.crew.hut	9677
maryann.girl.hut	skipper.crew.hut	6919
offshore.wreck	skipper.crew.hut	3965
ginger.girl.hut	offshore.wreck	6927
offshore.wreck	fileserver.copyroom.hut	9449
offshore.wreck	maryann.girl.hut	1809
laser3.copyroom.hut	ginger.girl.hut	3486
fileserver.copyroom.hut	offshore.wreck	2825
ginger.girl.hut	maryann.girl.hut	1023
offshore.wreck	fileserver.copyroom.hut	7033
fileserver.copyroom.hut	laser3.copyroom.hut	3954
gilligan.crew.hut	skipper.crew.hut	6264
maryann.girl.hut	gilligan.crew.hut	8160
fileserver.copyroom.hut	professor.hut	8273
laser3.copyroom.hut	skipper.crew.hut	2950
fileserver.copyroom.hut	laser3.copyroom.hut	8985
maryann.girl.hut	ginger.girl.hut	4663
gilligan.crew.hut	gilligan.crew.hut	4972
offshore.wreck	ginger.girl.hut	8372
ginger.girl.hut	skipper.crew.hut	3670
offshore.wreck	offshore.wreck	9547
maryann.girl.hut	laser3.copyroom.hut	3078
skipper.crew.hut	fileserver.copyroom.hut	2706
maryann.girl.hut	gilligan.crew.hut	2719
professor.hut	maryann.girl.hut	6588
ginger.girl.hut	ginger.girl.hut	1596
laser3.copyroom.hut	maryann.girl.hut	1431
offshore.wreck	gilligan.crew.hut	340
fileserver.copyroom.hut	offshore.wreck	6868
offshore.wreck	gilligan.crew.hut	3912
laser3.copyroom.hut	professor.hut	8222
skipper.crew.hut	professor.hut	8632
skipper.crew.hut	ginger.girl.hut	5285
maryann.girl.hut	laser3.copyroom.hut	7965
professor.hut	professor.hut	1437
fileserver.copyroom.hut	gilligan.crew.hut	7659
gilligan.crew.hut	skipper.crew.hut	9988
skipper.crew.hut	fileserver.copyroom.hut	4580
laser3.copyroom.hut	ginger.girl.hut	7989
fileserver.copyroom.hut	professor.hut	8154
laser3.copyroom.hut	fileserver.copyroom.hut	1221
laser3.copyroom.hut	gilligan.crew.hut	7633
laser3.copyroom.hut	fileserver.copyroom.hut	3757
professor.hut	laser3.copyroom.hut	3682
ginger.girl.hut	professor.hut	2833
skipper.crew.hut	skipper.crew.hut	152
laser3.copyroom.hut	maryann.girl.hut	7270
maryann.girl.hut	maryann.girl.hut	8589
gilligan.crew.hut	ginger.girl.hut	3107
ginger.girl.hut	offshore.wreck	6284
laser3.copyroom.hut	professor.hut	3024
laser3.copyroom.hut	gilligan.crew.hut	3821
fileserver.copyroom.hut	maryann.girl.hut	9636
ginger.girl.hut	laser3.copyroom.hut	4269
professor.hut	laser3.copyroom.hut	6584
professor.hut	maryann.girl.hut	6029
professor.hut	fileserver.copyroom.hut	6643
laser3.copyroom.hut	gilligan.crew.hut	1762
ginger.girl.hut	skipper.crew.hut	8917
ginger.girl.hut	laser3.copyroom.hut	6062
skipper.crew.hut	ginger.girl.hut	8838
professor.hut	gilligan.crew.hut	3183
ginger.girl.hut	offshore.wreck	7356
maryann.girl.hut	skipper.crew.hut	1920
laser3.copyroom.hut	professor.hut	7981
maryann.girl.hut	ginger.girl.hut	3031
offshore.wreck	skipper.crew.hut	4440
laser3.copyroom.hut	professor.hut	2964
ginger.girl.hut	laser3.copyroom.hut	1701
offshore.wreck	offshore.wreck	7654
offshore.wreck	fileserver.copyroom.hut	9714
ginger.girl.hut	laser3.copyroom.hut	7286
ginger.girl.hut	skipper.crew.hut	6517
maryann.girl.hut	professor.hut	6696
ginger.girl.hut	maryann.girl.hut	8562
fileserver.copyroom.hut	offshore.wreck	1800
offshore.wreck	fileserver.copyroom.hut	1829
